epoch,lr,train_loss,train_l_se,train_l_r,train_l_conv,train_l_dyn,train_l_sym,train_gnorm
141,0.001,0.02226182,0.01806382,0.0,0.005116043,0.0,0.041468363,0.24853095
142,0.001,0.02052582,0.018352488,0.0,0.031850822,0.0,0.018548248,0.21972719
143,0.001,0.022263944,0.018972073,0.007580164,0.020436611,0.0,0.023294905,0.38503677
144,0.001,0.023833688,0.019923396,0.0,0.008114364,0.0,0.03829148,0.31735757
145,0.001,0.021050688,0.0188855,0.0,0.008345541,0.0,0.020817291,0.25979152
146,0.001,0.020712752,0.018660031,0.0,0.002038891,0.0,0.020323334,0.28472713
147,0.001,0.023507403,0.018406695,0.0077141076,0.025146753,0.0,0.04077826,0.36766353
148,0.001,0.020390045,0.018309928,0.0,0.0051386156,0.0,0.020287301,0.28308517
149,0.001,0.021080006,0.01868787,0.0,0.010877064,0.0,0.022833643,0.3220437
150,0.001,0.020757567,0.01875759,0.0,0.025761494,0.0,0.017423637,0.31592163
151,0.001,0.023528887,0.017485239,0.017981078,0.008438693,0.0,0.041611537,0.29066822
152,0.001,0.020681046,0.01831786,0.0,0.034608487,0.0,0.020171016,0.26671392
153,0.001,0.021317491,0.018962877,0.0,0.018387968,0.0,0.021707343,0.3523324
154,0.001,0.02273776,0.017872516,0.007824643,0.004225135,0.0,0.04040528,0.25619262
155,0.001,0.019937245,0.017792312,0.0,0.004461884,0.0,0.021003164,0.24885091
156,0.001,0.019908143,0.017869012,0.0,0.0033890253,0.0,0.02005242,0.2520221
157,0.001,0.023002056,0.018586345,0.0,0.01583422,0.0,0.04257369,0.316631
158,0.001,0.020480545,0.017635802,0.0068480778,0.006335768,0.0,0.020965783,0.23973356
159,0.001,0.019819003,0.01731752,0.0,0.035154007,0.0,0.021499427,0.2018084
160,0.001,0.01944858,0.017111791,0.0,0.02543935,0.0,0.020823954,0.25390851
161,0.001,0.021977438,0.017404027,0.0,0.045646906,0.0,0.041169424,0.21958378
162,0.001,0.02149271,0.01836488,0.009772843,0.019968428,0.0,0.019508626,0.32443717
163,0.001,0.020441588,0.01819836,0.0,0.0021930076,0.0,0.022212995,0.24819344
164,0.001,0.023082094,0.018698275,0.0,0.03289569,0.0,0.04054863,0.27613938
165,0.001,0.019939277,0.017972404,0.0,0.0042336266,0.0,0.019245375,0.26035112
166,0.001,0.022152947,0.018846579,0.007174592,0.026127778,0.0,0.023276307,0.36018226
167,0.001,0.022597782,0.018419309,0.0,0.004613286,0.0,0.0413234,0.3211659
168,0.001,0.021037,0.018962221,0.0,0.0025320041,0.0,0.020494582,0.37937686
169,0.001,0.019758884,0.017697718,0.0,0.009772982,0.0,0.019634377,0.22494338
170,0.001,0.019957356,0.017039394,0.007126761,0.00625625,0.0,0.021427236,0.22760595
171,0.001,0.021558026,0.017271927,0.0,0.008236444,0.0,0.04203735,0.22283903
172,0.001,0.019594343,0.017507622,0.0,0.009352864,0.0,0.019931944,0.25333282
173,0.001,0.019113788,0.016861321,0.0,0.003445317,0.0,0.022180133,0.22659507
174,0.001,0.021807024,0.016758772,0.008015534,0.007947098,0.0,0.041672293,0.20023571
175,0.001,0.019444723,0.01709829,0.0,0.012960986,0.0,0.022168202,0.2932389
176,0.001,0.019563833,0.01741146,0.0,0.011097477,0.0,0.020413985,0.23439829
177,0.001,0.022039454,0.016930467,0.009278423,0.0060537998,0.0,0.04120606,0.22182196
178,0.001,0.019838389,0.017518217,0.0,0.0070853513,0.0,0.022493172,0.34019536
179,0.001,0.018735534,0.01656316,0.0,0.013437991,0.0,0.020379959,0.18177155
180,0.001,0.018983932,0.016743366,0.0,0.01227345,0.0,0.021178326,0.27285478
181,0.001,0.02167044,0.016334476,0.009099302,0.01505677,0.0,0.042754654,0.31366336
182,0.001,0.019383278,0.01691493,0.0,0.039192434,0.0,0.02076424,0.25060266
183,0.001,0.018811258,0.01664095,0.0,2.2095214e-13,0.0,0.021703077,0.20172729
184,0.001,0.021621289,0.017054386,0.0,0.01940774,0.0,0.04372827,0.30807957
185,0.001,0.021283459,0.017092822,0.0219266,0.016056659,0.0,0.01837414,0.28660905
186,0.001,0.02147346,0.019249015,0.0,0.0020255959,0.0,0.022041868,0.44735718
187,0.001,0.021426661,0.017284721,0.0,0.0076945433,0.0,0.040649958,0.33879426
188,0.001,0.020307885,0.017984068,0.0,0.017576123,0.0,0.02148056,0.32802296
189,0.001,0.019774036,0.01665528,0.010816836,0.00862138,0.0,0.019508582,0.24276641
190,0.001,0.018744143,0.016469233,0.0,0.0067939563,0.0,0.02206971,0.20122382
191,0.001,0.021337774,0.016675485,0.0,0.04387677,0.0,0.0422352,0.29013908
192,0.001,0.018574767,0.01637318,0.0,0.020010797,0.0,0.02001479,0.24167022
193,0.001,0.019568952,0.016585097,0.008087631,2.463423e-13,0.0,0.02175094,0.24638368
194,0.001,0.020948667,0.016632615,0.0,0.016238533,0.0,0.041536663,0.21623445
195,0.001,0.018502237,0.016359722,0.0,0.005072434,0.0,0.020917905,0.23387711
196,0.001,0.01764556,0.015475824,0.0,0.00032227128,0.0,0.021665135,0.14912543
197,0.001,0.021039793,0.015529063,0.006247689,0.057779834,0.0,0.043081634,0.29919595
198,0.001,0.018141307,0.015898896,0.0,0.013939573,0.0,0.021030178,0.2778235
199,0.001,0.01796095,0.015723132,0.0,0.013714769,0.0,0.02100671,0.2558149
200,0.001,0.01828786,0.015920212,0.0,0.020989273,0.0,0.021577535,0.26704496
201,0.001,0.020886907,0.015837796,0.0077455705,7.608239e-05,0.0,0.042737905,0.19600397
202,0.001,0.019009782,0.016702075,0.0,0.019999841,0.0,0.021077095,0.29268295
203,0.001,0.018673997,0.016197767,0.0,0.054123025,0.0,0.01935,0.34933618
204,0.001,0.021821085,0.016456787,0.0066403244,0.01943025,0.0,0.045059644,0.3114257
205,0.001,0.017987905,0.015968526,0.0,7.1774106e-05,0.0,0.020186616,0.2340634
206,0.001,0.017964294,0.015600372,0.0,0.0061387443,0.0,0.023025347,0.25877243
207,0.001,0.020858906,0.016385473,0.0,0.019698521,0.0,0.042764485,0.33132458
208,0.001,0.017968906,0.015117885,0.008975156,0.00037274475,0.0,0.01949778,0.20685966
209,0.001,0.017701091,0.015534827,0.0,0.0005867239,0.0,0.021603981,0.23580112
210,0.001,0.017819533,0.014810843,0.0,0.09540358,0.0,0.020546535,0.21421845
211,0.001,0.019458493,0.014659832,0.0,0.06201599,0.0,0.041784994,0.24560039
212,0.001,0.018975912,0.015573088,0.014005591,0.0021993779,0.0,0.01980272,0.21071026
213,0.001,0.017190512,0.01502995,0.0,0.005118676,0.0,0.021093747,0.1647137
214,0.001,0.0188081,0.014557067,0.0,2.112516e-13,0.0,0.042510353,0.18551114
215,0.001,0.01677501,0.014706429,0.0,0.0028204795,0.0,0.02040377,0.19443241
216,0.001,0.017857943,0.014861962,0.0057885125,0.01788044,0.0,0.022383254,0.30976233
217,0.001,0.019308658,0.014128268,0.0,0.08427235,0.0,0.04337666,0.3081601
