s11,s22,s12,r_calc,theta_rad,theta_pi_coeff,phi_rad,phi_pi_coeff,se_target
0.20105174,-0.88391066,-0.013764695,0.90659213,4.936041,1.5711906,1.5859798,0.50483304,1.0
0.6204992,1.1447232,-0.07044924,1.3039837,1.0740759,0.341889,1.6248488,0.5172054,1.0
0.10566752,-0.9386131,0.05372469,0.946069,4.8244953,1.5356845,1.5139785,0.4819143,1.0
-0.7216626,0.23283638,0.29266652,0.812812,2.8294978,0.9006571,1.202457,0.38275394,1.0
-0.9127855,-0.75305754,-0.309358,1.2231007,3.831399,1.2195722,1.8265032,0.581394,1.0
-0.2802225,0.40354156,-0.4638779,0.67568713,2.1777594,0.6932023,2.327499,0.7408659,1.0
-0.14002499,-0.6957807,0.44486284,0.837628,4.513793,1.4367849,1.0109,0.32177946,1.0
0.947766,0.0044885683,0.18794823,0.9662324,0.0047359103,0.001507487,1.3750317,0.43768618,1.0
0.7338503,-0.31697893,-0.20685974,0.8257135,5.8754516,1.8702142,1.8240162,0.58060235,1.0
-0.55316406,0.5024675,-0.23351578,0.7829391,2.4041824,0.765275,1.8736607,0.59640473,1.0
-1.0291522,-0.38690582,0.25122014,1.1278129,3.5011926,1.1144642,1.3461621,0.4284967,1.0
0.03890517,0.24167934,0.5625774,0.6135274,1.4111872,0.44919482,0.4104142,0.1306389,1.0
0.14246473,-0.23535447,-0.5449105,0.61042225,5.256711,1.6732631,2.674049,0.8511762,1.0
0.81607574,0.39959514,-0.40842953,0.99622816,0.455337,0.14493826,1.9932239,0.63446283,1.0
0.65262747,-0.034124438,0.42842436,0.781431,6.230945,1.9833714,0.9905187,0.31529188,1.0
-0.2158663,0.85937035,0.0989533,0.8915758,1.8168958,0.5783359,1.4595803,0.46459883,1.0
-0.8387262,-1.092898,-0.0790664,1.3799055,4.0578237,1.2916454,1.6281261,0.5182486,1.0
1.1124281,0.77242583,-0.091524884,1.3573927,0.60693085,0.19319208,1.6382746,0.52147895,1.0
0.8901527,-0.1791203,0.073257126,0.91094595,6.084613,1.9367924,1.4902906,0.47437423,1.0
-0.0033037895,0.6999124,0.41142002,0.81188345,1.5755166,0.5015025,1.0393884,0.3308476,1.0
-0.33211643,-0.7689477,-0.42965034,0.94137204,4.30468,1.3702221,2.0447512,0.6508645,1.0
-0.15852793,0.085923746,-0.5638749,0.5920041,2.6449044,0.8418992,2.8320887,0.9014818,1.0
-0.3327384,-0.037451375,0.54782724,0.64205307,3.253676,1.0356772,0.548624,0.17463243,1.0
0.3353511,1.0394571,0.22778034,1.1157129,1.2587173,0.40066215,1.3651941,0.43455476,1.0
0.47246563,-0.57270706,-0.2437201,0.7814196,5.4021707,1.7195643,1.8879822,0.6009634,1.0
-0.3536079,0.72221166,-0.1807319,0.8241919,2.026104,0.64492893,1.7918767,0.57037205,1.0
-0.050289303,-0.9620403,0.20027456,0.98395145,4.660163,1.4833759,1.365823,0.43475497,1.0
0.6538315,0.16422376,0.46651533,0.819818,0.24608083,0.07832996,0.96544933,0.30731207,1.0
0.41230795,-0.31639683,-0.4470057,0.6855063,5.6286535,1.791656,2.2811227,0.7261039,1.0
0.8157339,0.8980901,-0.29474,1.2485429,0.8334153,0.26528433,1.809113,0.57585853,1.0
0.25677267,-0.6830332,0.3120626,0.79363066,5.0719748,1.6144596,1.1666775,0.37136495,1.0
-0.91228646,0.14684092,0.06379686,0.9262283,2.9820023,0.94920075,1.5018637,0.47805807,1.0
-1.1425261,-0.6915411,-0.04657776,1.336325,3.685881,1.1732523,1.6056585,0.51109695,1.0
-0.8577423,0.23853056,-0.030460695,0.8908123,2.870355,0.9136623,1.6049973,0.5108865,1.0
-1.0886898,-0.87693405,0.012254657,1.3980018,3.8196752,1.2158403,1.5620304,0.49720973,1.0
0.49034604,0.9436204,0.33258677,1.1142138,1.0915579,0.34745365,1.2676815,0.40351555,1.0
0.05943117,-0.76272756,-0.35089633,0.8416731,4.790151,1.5247524,2.000832,0.6368846,1.0
0.5328318,0.099799626,-0.5030927,0.7395755,0.18515515,0.058936715,2.3188934,0.7381267,1.0
0.3752988,-0.2396027,0.48710665,0.6599481,5.7149854,1.8191363,0.7405488,0.23572399,1.0
-0.54415935,0.57149255,0.14866515,0.80300343,2.3316996,0.742203,1.3845857,0.44072732,1.0
-0.44548944,-1.1001225,-0.16468425,1.1982701,4.3276267,1.3775263,1.7086678,0.5438858,1.0
0.027220586,0.90231127,-0.2643577,0.94063354,1.5406379,0.49040025,1.8556762,0.59068006,1.0
0.3101866,-0.6732635,0.28382105,0.7937593,5.1441226,1.6374251,1.2051365,0.38360685,1.0
-0.2587799,0.18891008,0.5318082,0.6208655,2.511013,0.7992802,0.5422312,0.17259754,1.0
-0.5081444,-0.115572535,-0.5122369,0.73072183,3.3652287,1.0711855,2.347597,0.74726325,1.0
-0.2182508,0.6226073,-0.37808385,0.7604082,1.907955,0.60732096,2.0911784,0.66564274,1.0
-0.6710204,-0.77533734,0.3953272,1.0989541,3.99899,1.272918,1.2028174,0.38286868,1.0
1.1213081,0.64305514,0.12937166,1.2990723,0.52069616,0.16574273,1.4710432,0.4682476,1.0
0.9117579,-0.12621209,-0.11209086,0.927252,6.1456323,1.9562155,1.6919777,0.5385732,1.0
0.40445057,1.1133268,-0.12544443,1.1911395,1.2223392,0.38908264,1.6763067,0.533585,1.0
0.540312,-0.5781527,0.14308462,0.8041584,5.4639673,1.7392348,1.3919129,0.44305962,1.0
-0.52845424,0.32963657,0.38204625,0.7306733,2.5838747,0.8224728,1.0205834,0.32486176,1.0
-0.8306641,-0.12488691,-0.36429816,0.91559416,3.2908208,1.0475007,1.9800031,0.63025457,1.0
-0.02870368,0.4315899,-0.51656497,0.6737456,1.6372054,0.5211386,2.4444914,0.77810574,1.0
-0.20296691,-0.4264765,0.5364957,0.71477646,4.2681937,1.3586082,0.7218596,0.22977503,1.0
0.9703453,0.7287946,0.2795656,1.2453387,0.64418375,0.20505005,1.344377,0.42792848,1.0
0.7727833,-0.20515884,-0.25959748,0.84063965,6.0236907,1.9174002,1.8847374,0.5999305,1.0
-0.9031373,0.08939063,-0.17853126,0.9249438,3.042936,0.96859664,1.765034,0.5618277,1.0
-1.106112,-0.61443245,0.16188467,1.2756244,3.64864,1.1613982,1.443547,0.45949528,1.0
0.51887095,0.6148925,0.4731913,0.9333969,0.8698893,0.27689436,1.0391464,0.33077058,1.0
